"","substancia","resumoApresentacao","minino","maximo","mediano","marcas","valoresMin","valoresMax","valoresMed"
"2207","GLIMEPIRIDA","3MG|oral|comprimido",36.54,45.68,43,"AMARYL","36.54","45.68","43"
"2208","GLIMEPIRIDA","4MG|oral|comprimido",25.31,100.39,56,"BETES|GLIMEPIRIDA|GLIMEPIRIDA|GLIMEPIRIDA|GLIMEPIRIDA|GLIMEPIRIDA|GLIMEPIL|GLIMEPIRIDA|DIABEMED|GLIMEPIRIDA|GLIMEPIRIDA|GLIMEPIRIDA|GLIMEPIRIDA|GLIMEPIRIDA|GLIANSOR|GLIANSOR|GLIMEPIRIDA|GLIMEPIRIDA|AMARYL","44.67|31.55|31.53|50.19|80.31|41.78|68.82|69.63|63.32|41.78|57.6|25.31|41.78|41.78|48.43|48.43|32.33|54.68|64.29","55.84|39.44|39.41|62.74|100.39|52.23|86.03|87.04|79.15|52.23|72|31.64|52.23|52.23|60.54|60.54|40.41|68.35|80.36","52|37|37|59|94|49|80|81|74|49|67|30|49|49|56|56|38|64|75"
"2209","GLIMEPIRIDA","6MG|oral|comprimido",70.74,120.41,97,"GLIMEPIL|AMARYL","96.33|70.74","120.41|88.43","112|82"
"2210","GLUCAGON","1UI|injetavel|solucao",119.23,149.04,139,"GLUCAGEN","119.23","149.04","139"
"2211","GLUTAMINA;CLORIDRATO DE HIDROXOCOBALAMINA;CLORIDRATO DE ARGININA;FOSFATO DE LEVOTREONINA;DEXFOSFOSSERINA;TRIPTOFANO","ERRO|oral|solucao",69.3,100.08,88,"FORTEN","69.3","100.08","88"
"2212","GLYCINE MAX (L.) MERR.","150MG|oral|comprimido",21.69,139.56,77,"SOYFEMME|ISOVIT|SOYNATI|ISOFLAVINE|BUONA|BUONA","60.36|96.64|40|60.43|21.69|66.05","87.16|139.56|55.76|87.27|31.32|95.39","77|123|50|77|27|84"
"2213","GLYCINE MAX (L.) MERR.","75MG|oral|comprimido",34.77,107.29,69,"ISOVIT|ISOFLAVINE","74.29|34.77","107.29|50.21","94|44"
"2214","GOLIMUMABE","50MG|injetavel|solucao",3550.07,4437.59,4139,"SIMPONI|SIMPONI","3550.07|3550.07","4437.59|4437.59","4139|4139"
"2215","GONADOTROFINA CORIÔNICA","5000UI|injetavel|po",75.38,94.23,88,"CHORIOMON-M","75.38","94.23","88"
"2216","GUAIFENESINA","13.333MG/ML|oral|solucao",11.04,21.6,14,"GLYTEOL|GLYTEOL|GLYTEOL","11.04|11.04|14.96","15.94|15.94|21.6","14|14|19"
"2217","GUAIFENESINA","13.33MG/ML|oral|solucao",8.66,25.45,16.5,"TRANSPULMIN XAROPE ADULTO|SPECTOLAB BALSAMICO|EXPECTOFLUI|FRENOTOSSE","17.62|14.93|10.78|8.66","25.45|21.56|15.56|12.51","22|19|14|11"
"2218","GUAIFENESINA","13.3MG/ML|oral|solucao",12.88,21.11,17.5,"XAROPE VICK|GUAIFENESINA","14.62|12.88","21.11|18.61","19|16"
"2219","GUAIFENESINA","16MG/ML|oral|solucao",16.81,44.88,30,"XAROPE VICK|XAROPE VICK","16.81|31.08","24.28|44.88","21|39"
"2220","GUAIFENESINA","6.667MG/ML|oral|solucao",15.07,21.76,19,"TRANSPULMIN XAROPE INFANTIL","15.07","21.76","19"
"2221","GUAIFENESINA","6.67MG/ML|oral|solucao",13.94,20.13,18,"SPECTOLAB BALSAMICO","13.94","20.13","18"
"2222","GUAIFENESINA;SULFATO DE PSEUDOEFEDRINA;MALEATO DE DEXCLORFENIRAMINA","0.4MG/ML|4MG/ML|20MG/ML|oral|solucao",16.61,23.98,21,"EXPECTAMIN","16.61","23.98","21"
"2223","GUSELCUMABE","100MG|injetavel|solucao",8810.12,12722.86,11168,"TREMFYA","8810.12","12722.86","11168"
"2224","HALOPERIDOL","1MG|oral|comprimido",4.26,32.08,17.5,"HALO|HALDOL","25.66|4.26","32.08|5.33","30|5"
"2225","HALOPERIDOL","2MG/ML|oral|solucao",3.94,54.86,11,"HALO|HALOPERIDOL|HALDOL","43.89|3.94|9.48","54.86|4.93|11.85","51|5|11"
"2226","HALOPERIDOL","5MG/ML|injetavel|solucao",146.39,246.69,178,"HALO|HALOPERIDOL|UNI HALOPER","197.35|146.39|152.51","246.69|182.99|190.64","230|171|178"
"2227","HALOPERIDOL","5MG|oral|comprimido",8.13,57.1,51,"HALO|FURP-HALOPERIDOL|HALDOL","43.42|45.68|8.13","54.28|57.1|10.16","51|53|9"
"2228","HARPAGOPHYTUM PROCUMBENS DC. EX MEISSN.","300MG|oral|comprimido",72.46,144.5,109.5,"PERMEAR|PERMEAR","72.46|100.06","104.65|144.5","92|127"
"2229","HARPAGOPHYTUM PROCUMBENS DC. EX MEISSN.","400MG|oral|comprimido",49.54,138.84,92.5,"ARPADOL|ARPADOL","49.54|96.14","71.55|138.84","63|122"
"2230","HARPAGOPHYTUM PROCUMBENS DC. EX MEISSN.","450MG|oral|comprimido",58.62,1923.76,881.5,"ARPYNFLAN|ARPYNFLAN","58.62|1332.13","84.66|1923.76","74|1689"
"2231","HEDERA HELIX (HERA)","15MG/ML|oral|solucao",15.99,23.09,20,"BLUMEL HEDERA","15.99","23.09","20"
"2232","HEDERA HELIX (HERA)","7.5MG|oral|solucao",12.16,17.56,15,"LIBERAFLUX","12.16","17.56","15"
"2233","HEDERA HELIX (HERA)","7MG/ML|oral|solucao",25.04,64.87,43.5,"ABRILAR|FLYARE|HEDRA EXPEC|HEDRA EXPEC","44.92|25.04|28.39|40.4","64.87|36.15|41|58.34","57|32|36|51"
"2234","HEDERA HELIX L.","15MG/ML|oral|solucao",27.25,67.11,47,"TORANTE|TORANTE","27.25|46.47","39.35|67.11","35|59"
"2235","HEDERA HELIX L.","7.5MG/ML|oral|solucao",29.29,42.3,37,"HEDERAX","29.29","42.3","37"
"2236","HEDERA HELIX L.","7MG/ML|oral|solucao",9.04,47.59,20,"PHITOSS|PHITOSS|HEDERA CATARINENSE|BRILIV|HEDERA HELIX VITAMEDIC|HEDERA 1FARMA|SPECDERA|SPECDERA|HEDERAFLUX|HEDERAFLUX|HEDERAFLUX|HEDERAFLUX|RESPLIX|ARLIVRY|ARLIVRY|ABRIFIT|RESPIRATUS","16.48|32.96|12.44|14.2|15.21|25.68|15.53|15.53|10.71|21.43|10.71|21.43|9.04|17.83|14.2|15.61|17.46","23.8|47.59|17.96|20.5|21.96|37.08|22.42|22.42|15.46|30.95|15.46|30.95|13.06|25.75|20.5|22.54|25.21","21|42|16|18|19|33|20|20|14|27|14|27|11|23|18|20|22"
"2237","HEMAGLUTININA FILAMENTOSA;POLISSACARIDEO DE HAEMOPHILUS INFLUENZAE TIPO B;POLIOVÍRUS TIPO 1 (MAHONEY);POLISSACARÍDEO DE HAEMOPHILUS INFLUENZAE TIPO B CONJUGADO COM PROTEÍNA TETÂNICA;TOXÓIDE TETÂNICO;POLIOVÍRUS TIPO 3;POLIOVÍRUS TIPO 2;TOXÓIDE DIFTÉRICO;TOXÓIDE PERTUSSIS","ERRO|injetavel|solucao",103.58,103.58,104,"PENTAXIM","103.58","103.58","104"
"2238","HEMIFUMARATO DE BISOPROLOL","1.25MG|oral|comprimido",22.2,70.3,44.5,"CONCOR|HEMIFUMARATO DE BISOPROLOL|HEMIFUMARATO DE BISOPROLOL|CONCÁRDIO|HEMIFUMARATO DE BISOPROLOL|ICCOR","35.6|56.24|40.18|40.18|22.2|35.6","44.5|70.3|50.23|50.23|27.75|44.5","42|66|47|47|26|42"
"2239","HEMIFUMARATO DE BISOPROLOL","10MG|oral|comprimido",36.94,80.13,66,"CONCOR|HEMIFUMARATO DE BISOPROLOL|HEMIFUMARATO DE BISOPROLOL|CONCÁRDIO|ICCOR|HEMIFUMARATO DE BISOPROLOL","56.83|40.16|64.1|64.1|56.83|36.94","71.04|50.2|80.13|80.13|71.04|46.18","66|47|75|75|66|43"
"2240","HEMIFUMARATO DE BISOPROLOL","2.5MG|oral|comprimido",25.57,192.64,51,"CONCOR|HEMIFUMARATO DE BISOPROLOL|HEMIFUMARATO DE BISOPROLOL|CONCÁRDIO|CONCÁRDIO|HEMIFUMARATO DE BISOPROLOL|ICCOR|HEMIFUMARATO DE BISOPROLOL","41|64.09|46.23|46.23|154.11|25.57|41|26.65","51.25|80.11|57.79|57.79|192.64|31.96|51.25|33.31","48|75|54|54|180|30|48|31"
"2241","HEMIFUMARATO DE BISOPROLOL","5MG|oral|comprimido",31.11,234.34,58,"CONCOR|HEMIFUMARATO DE BISOPROLOL|CONCÁRDIO|CONCÁRDIO|HEMIFUMARATO DE BISOPROLOL|ICCOR|HEMIFUMARATO DE BISOPROLOL","49.88|56.24|56.24|187.47|31.11|49.88|32.43","62.35|70.3|70.3|234.34|38.89|62.35|40.54","58|66|66|219|36|58|38"
"2242","HEMIFUMARATO DE BISOPROLOL;HIDROCLOROTIAZIDA","2.5MG|6.25MG|oral|comprimido",53.92,67.4,63,"BICONCOR","53.92","67.4","63"
"2243","HEMIFUMARATO DE BISOPROLOL;HIDROCLOROTIAZIDA","5MG|6.25MG|oral|comprimido",70.12,87.65,82,"BICONCOR","70.12","87.65","82"
"2244","HEMIFUMARATO DE COBIMETINIBE","20MG|oral|comprimido",13648.64,19710.25,17301,"COTELLIC®","13648.64","19710.25","17301"
"2245","HEMIFUMARATO DE GILTERITINIBE","40MG|oral|comprimido",80507.25,116261.98,102051,"XOSPATA®","80507.25","116261.98","102051"
"2246","HEMIFUMARATO DE QUETIAPINA","100MG|oral|comprimido",73.39,1968.74,211,"HEMIFUMARATO DE QUETIAPINA|QUET|HEMIFUMARATO DE QUETIAPINA|NEOTIAPIM|HEMIFUMARATO DE QUETIAPINA|HEMIFUMARATO DE QUETIAPINA|HEMIFUMARATO DE QUETIAPINA|HEMIFUMARATO DE QUETIAPINA|HEMIFUMARATO DE QUETIAPINA|QUETIPIN|FUMARATO DE QUETIAPINA|FUMARATO DE QUETIAPINA|ATIP|TRACOX|HEMIFUMARATO DE QUETIAPINA|KITAPEN|QUETROS|FUMARATO DE QUETIAPINA|HEMIFUMARATO DE QUETIAPINA|SEROQUEL|HEMIFUMARATO DE QUETIAPINA|QUEROPAX|QUEOPINE|HEMIFUMARATO DE QUETIAPINA|HEMIFUMARATO DE QUETIAPINA|HEMIFUMARATO DE QUETIAPINA","196.62|82.99|168.96|73.39|90.16|201.34|206.05|210.92|1406.08|147.6|1968.74|210.94|237.44|235.86|182.35|131.63|323.19|210.94|210.95|302.89|210.89|321.7|286.81|210.76|210.91|164.06","196.62|82.99|168.96|73.39|90.16|201.34|206.05|210.92|1406.08|147.6|1968.74|210.94|237.44|235.86|182.35|131.63|323.19|210.94|210.95|302.89|210.89|321.7|286.81|263.45|210.91|164.06","197|83|169|73|90|201|206|211|1406|148|1969|211|237|236|182|132|323|211|211|303|211|322|287|246|211|164"
"2247","HEMIFUMARATO DE QUETIAPINA","200MG|oral|comprimido",148.96,2529.61,365,"QUET XR|QUET XR|HEMIFUMARATO DE QUETIAPINA|QUET|HEMIFUMARATO DE QUETIAPINA|NEOTIAPIM|HEMIFUMARATO DE QUETIAPINA|HEMIFUMARATO DE QUETIAPINA|HEMIFUMARATO DE QUETIAPINA|QUETIPIN|FUMARATO DE QUETIAPINA|ATIP|TRACOX|HEMIFUMARATO DE QUETIAPINA|KITAPEN|QUETROS|FUMARATO DE QUETIAPINA|HEMIFUMARATO DE QUETIAPINA|SEROQUEL|SEROQUEL|HEMIFUMARATO DE QUETIAPINA|HEMIFUMARATO DE QUETIAPINA|HEMIFUMARATO DE QUETIAPINA|QUEPSIA LP","251.24|251.24|353.72|169.06|300.9|148.96|366.97|379.43|2529.61|264.05|379.43|363.44|470.16|327.98|243.51|581.23|379.45|379.45|544.84|557.49|379.43|379.01|223.31|180.44","251.24|251.24|353.72|169.06|300.9|148.96|366.97|379.43|2529.61|264.05|379.43|363.44|470.16|327.98|243.51|581.23|379.45|379.45|544.84|557.49|379.43|473.76|223.31|180.44","251|251|354|169|301|149|367|379|2530|264|379|363|470|328|244|581|379|379|545|557|379|442|223|180"
"2248","HEMIFUMARATO DE QUETIAPINA","25MG|oral|comprimido",25.06,591.7,48,"HEMIFUMARATO DE QUETIAPINA|QUET|HEMIFUMARATO DE QUETIAPINA|HEMIFUMARATO DE QUETIAPINA|HEMIFUMARATO DE QUETIAPINA|NEOTIAPIM|HEMIFUMARATO DE QUETIAPINA|HEMIFUMARATO DE QUETIAPINA|HEMIFUMARATO DE QUETIAPINA|HEMIFUMARATO DE QUETIAPINA|HEMIFUMARATO DE QUETIAPINA|HEMIFUMARATO DE QUETIAPINA|QUETIPIN|FUMARATO DE QUETIAPINA|FUMARATO DE QUETIAPINA|ATIP|ATIP|TRACOX|HEMIFUMARATO DE QUETIAPINA|KITAPEN|QUETROS|QUETROS|FUMARATO DE QUETIAPINA|FUMARATO DE QUETIAPINA|HEMIFUMARATO DE QUETIAPINA|HEMIFUMARATO DE QUETIAPINA|SEROQUEL|HEMIFUMARATO DE QUETIAPINA|HEMIFUMARATO DE QUETIAPINA|QUEROPAX|QUEOPINE|HEMIFUMARATO DE QUETIAPINA|HEMIFUMARATO DE QUETIAPINA|HEMIFUMARATO DE QUETIAPINA","48.9|33.24|25.06|47.47|43.22|28.46|26.88|30.25|57.92|29.57|61.99|422.5|43.03|591.7|63.4|34.38|70.95|72.73|47.08|39.6|48.68|97.37|31.69|63.38|29.59|63.4|45.52|29.57|63.37|96.64|89.67|63.32|63.36|44.14","48.9|33.24|25.06|47.47|43.22|28.46|26.88|30.25|57.92|29.57|61.99|422.5|43.03|591.7|63.4|34.38|70.95|72.73|47.08|39.6|48.68|97.37|31.69|63.38|29.59|63.4|45.52|29.57|63.37|120.8|89.67|79.15|63.36|44.14","49|33|25|47|43|28|27|30|58|30|62|423|43|592|63|34|71|73|47|40|49|97|32|63|30|63|46|30|63|113|90|74|63|44"
"2249","HEMIFUMARATO DE QUETIAPINA","300MG|oral|comprimido",213.68,3855.66,556.5,"QUET XR|QUET XR|QUETIPIN|SEROQUEL|QUEROPAX|QUEPSIA LP","296.92|296.92|3855.66|815.69|854.56|213.68","296.92|296.92|3855.66|815.69|1068.2|213.68","297|297|3856|816|996|214"
"2250","HEMIFUMARATO DE QUETIAPINA","50MG|oral|comprimido",23.39,224.14,88,"HEMIFUMARATO DE QUETIAPINA|QUET XR|QUET XR|QUETIPIN LP|QUETIPIN LP|ATIP XR|ATIP XR|SEROQUEL|QUEPSIA LP|QUEPSIA LP","122.09|23.39|75.62|23.39|75.62|43.89|131.72|179.31|23.39|75.62","122.09|29.24|94.53|29.24|94.53|54.86|164.65|224.14|29.24|94.53","122|27|88|27|88|51|154|209|27|88"
"2251","HEMIFUMARATO DE TENOFOVIR ALAFENAMIDA","25MG|oral|comprimido",1404.83,2028.74,1781,"VEMLIDY","1404.83","2028.74","1781"
"2252","HEMIFUMARATO DE TENOFOVIR ALAFENAMIDA;ENTRICITABINA;BICTEGRAVIR SÓDICO","50MG|200MG|25MG|oral|comprimido",2551.99,3685.38,3235,"BIKTARVY","2551.99","3685.38","3235"
"2253","HEMITARTARATO DE EPINEFRINA","1MG/ML|injetavel|solucao",167.23,209.04,195,"EFRINALIN","167.23","209.04","195"
"2254","HEMITARTARATO DE EPINEFRINA","20MG/ML|injetavel|solucao",111.04,138.8,129,"HYPOCAÍNA","111.04","138.8","129"
"2255","HEMITARTARATO DE EPINEFRINA;CLORIDRATO DE LEVOBUPIVACAÍNA","2.5MG/ML|9.1MCG|injetavel|solucao",231.69,289.61,270,"NOVABUPI","231.69","289.61","270"
"2256","HEMITARTARATO DE EPINEFRINA;CLORIDRATO DE LEVOBUPIVACAÍNA","5MG/ML|9.1MCG/ML|injetavel|solucao",247.9,309.88,289,"NOVABUPI","247.9","309.88","289"
"2257","HEMITARTARATO DE EPINEFRINA;CLORIDRATO DE LEVOBUPIVACAÍNA","7.5MG/ML|9.1MCG|injetavel|solucao",290.58,363.23,339,"NOVABUPI","290.58","363.23","339"
"2258","HEMITARTARATO DE NOREPINEFRINA","2MG/ML|injetavel|solucao",446.65,905.73,549,"HYPONOR|HEMITARTARATO DE NOREPINEFRINA|HEMITARTARATO DE NOREPINEFRINA","724.58|446.65|470.97","905.73|558.31|588.71","845|521|549"
"2259","HEMITARTARATO DE RIVASTIGMINA","1.5MG|oral|comprimido",108.77,108.77,109,"HEMITARTARATO DE RIVASTIGMINA","108.77","108.77","109"
"2260","HEMITARTARATO DE RIVASTIGMINA","3MG|oral|comprimido",124.43,124.43,124,"HEMITARTARATO DE RIVASTIGMINA","124.43","124.43","124"
"2261","HEMITARTARATO DE RIVASTIGMINA","4.5MG|oral|comprimido",141.67,141.67,142,"HEMITARTARATO DE RIVASTIGMINA","141.67","141.67","142"
"2262","HEMITARTARATO DE RIVASTIGMINA","6MG|oral|comprimido",144.55,144.55,145,"HEMITARTARATO DE RIVASTIGMINA","144.55","144.55","145"
"2263","HEMITARTARATO DE VINORELBINA","10MG/ML|injetavel|solucao",191.66,1359.68,659.5,"NAVELBINE|NAVELBINE|VILNE|VILNE","230.81|1087.74|191.66|900.62","288.51|1359.68|239.58|1125.78","269|1268|223|1050"
"2264","HEMITARTARATO DE VINORELBINA","20MG|oral|comprimido",134.71,168.39,157,"NAVELBINE","134.71","168.39","157"
"2265","HEMITARTARATO DE VINORELBINA","30MG|oral|comprimido",202.18,252.73,236,"NAVELBINE","202.18","252.73","236"
"2266","HEMITARTARATO DE ZOLPIDEM","10MG|oral|comprimido",12.96,67.76,39,"HEMITARTARATO DE ZOLPIDEM|TURNO|HEMITARTARATO DE ZOLPIDEM|HEMITARTARATO DE ZOLPIDEM|PIDEZOT|PIDEZOT|HEMITARTARATO DE ZOLPIDEM|HEMITARTARATO DE ZOLPIDEM|HEMITARTARATO DE ZOLPIDEM|HEMITARTARATO DE ZOLPIDEM|HEMITARTARATO DE ZOLPIDEM|HEMITARTARATO DE ZOLPIDEM|PROMPT|INSONOX|INSONOX|HEMITARTARATO DE ZOLPIDEM|HEMITARTARATO DE ZOLPIDEM|HEMITARTARATO DE ZOLPIDEM|ZOLPAZ|ZOLFEST D|HEMITARTARATO DE ZOLPIDEM|HEMITARTARATO DE ZOLPIDEM|NOCTIDEN|NOCTIDEN|HEMITARTARATO DE ZOLPIDEM|HEMITARTARATO DE ZOLPIDEM|HEMITARTARATO DE ZOLPIDEM|HEMITARTARATO DE ZOLPIDEM|HEMITARTARATO DE ZOLPIDEM|HEMITARTARATO DE ZOLPIDEM|HEMITARTARATO DE ZOLPIDEM|ZYLINOX|ZYLINOX|HEMITARTARATO DE ZOLPIDEM|HEMITARTARATO DE ZOLPIDEM|LUNE|STILNOX","31.67|38.44|22|44.88|30.39|45.58|12.96|42.34|33.56|18.34|33.56|52.68|48.42|22.58|39.42|18.35|33.56|52.68|25.6|51.64|33.56|50.34|36.78|54.21|33.55|50.33|18.34|33.56|52.67|33.55|31.66|25.98|37.74|33.56|50.36|48.5|51.64","39.59|48.05|27.5|56.1|37.99|56.98|16.2|52.93|41.95|22.93|41.95|65.85|60.53|28.23|49.28|22.94|41.95|65.85|32|64.55|41.95|62.93|45.98|67.76|41.94|62.91|22.93|41.95|65.84|41.94|39.58|32.48|47.18|41.95|62.95|60.63|64.55","37|45|26|52|35|53|15|49|39|21|39|61|56|26|46|21|39|61|30|60|39|59|43|63|39|59|21|39|61|39|37|30|44|39|59|57|60"
"2267","HEMITARTARATO DE ZOLPIDEM","12.5MG|oral|comprimido",51.64,64.55,60,"STILNOX","51.64","64.55","60"
"2268","HEMITARTARATO DE ZOLPIDEM","5MG|oral|comprimido",26.63,101.3,76.5,"HEMITARTARATO DE ZOLPIDEM|TURNO SL|ZOUP SL|NUIT FLASH|PATZ SL|PATZ SL|LUNE SL|RIPOSO SL","46.38|76.99|78.49|26.63|54.03|81.04|36.37|76.99","57.98|96.24|98.11|33.29|67.54|101.3|45.46|96.24","54|90|92|31|63|94|42|90"
"2269","HEMITARTARATO DE ZOLPIDEM","6.25MG|oral|comprimido",25.81,32.26,30,"STILNOX","25.81","32.26","30"
"2270","HEPARINA SÓDICA BOVINA","5000UI/ML|injetavel|solucao",736.36,920.45,859,"HEPTAR","736.36","920.45","859"
"2271","HEPARINA SÓDICA SUÍNA","0UI/ML|topico|solucao",218.48,273.1,255,"ALIMAX","218.48","273.1","255"
"2272","HEPARINA SÓDICA SUÍNA","200UI/G|40G|topico|comprimido",12.54,18.1,16,"TROMBOFOB GEL","12.54","18.1","16"
"2273","HEPARINA SÓDICA SUÍNA","5000UI/ML|injetavel|solucao",490.26,1164.38,572,"HEMOFOL|HEPAMAX-S|HEPAMAX-S","931.5|490.26|490.26","1164.38|612.83|612.83","1086|572|572"
"2274","HEPARINA SÓDICA SUÍNA","5000UI|injetavel|solucao",186.3,232.88,217,"HEMOFOL","186.3","232.88","217"
"2275","HESPERIDINA;DIOSMINA","100MG|oral|comprimido",26.75,207.32,102,"DAFLON|DAFLON|DAFLON|CONVIVANCE|CONVIVANCE","26.75|80.31|143.56|57.73|115.47","38.63|115.98|207.32|83.37|166.76","34|102|182|73|146"
"2276","HESPERIDINA;DIOSMINA","100MG|oral|solucao",26.75,115.98,68,"DAFLON|DAFLON","26.75|80.31","38.63|115.98","34|102"
"2277","HESPERIDINA;DIOSMINA","450MG|50MG|oral|comprimido",17.69,151.14,63.5,"PERIVASC|PERIVASC|VENAFLON|VENAFLON|DIOSMIN|DIOSMIN|DIOSMIN|FLAVENOS|FLAVENOS|VARIFLUX|VARIFLUX|WARYZ|WARYZ|VENOVAZ|VELUNID|VELUNID","39.55|72.52|44.73|89.47|53.89|104.66|17.69|39.08|70.96|45.21|81.95|28.9|58.88|45.21|92.5|46.25","57.12|104.72|64.6|129.21|77.83|151.14|25.54|56.44|102.47|65.29|118.34|41.74|85.04|65.29|133.58|66.79","50|92|57|113|68|133|22|50|90|57|104|37|75|57|117|59"
"2278","HESPERIDINA;DIOSMINA","50MG|oral|comprimido",40.7,139.65,80,"VONFLUX|VONFLUX|DAFLON|DAFLON|CONVIVANCE|CONVIVANCE","46.88|93.78|56.59|96.71|40.7|69.51","67.71|135.42|81.72|139.65|58.77|100.38","59|119|72|123|52|88"
"2279","HESPERIDINA;DIOSMINA","900MG|100MG|5G|oral|granulado",23.04,142.22,93.5,"DIOSMIN SDU|DIOSMIN SDU|DIOSMIN SDU|DIOSMIN SDU","49.24|98.48|98.48|23.04","71.11|142.22|142.22|33.27","62|125|125|29"
"2280","HESPERIDINA;DIOSMINA","900MG|100MG|oral|comprimido",25.26,109.43,64,"DIEVARI|DIEVARI","25.26|75.78","36.48|109.43","32|96"
"2281","HEXACETONIDO DE TRIANCINOLONA","20MG/ML|injetavel|solucao",14.18,88.68,83,"TRIANCIL|TRIANCIL|TRIANCIL","14.18|70.94|70.94","17.73|88.68|88.68","17|83|83"
"2282","HEXAFLUORETO DE ENXOFRE","25MG|injetavel|po",294.71,425.6,374,"SONOVUE","294.71","425.6","374"
"2283","HIALURONATO DE SÓDIO","0.8MG/ML|injetavel|solucao",431.67,539.59,503,"CYSTISTAT","431.67","539.59","503"
"2284","HIALURONATO DE SÓDIO","10MG/ML|injetavel|solucao",297.66,850.79,570.5,"POLIREUMIN|EUFLEXXA","297.66|680.63","372.08|850.79","347|794"
"2285","HIALURONIDASE;VALERATO DE BETAMETASONA","2.5MG|150U|20G|topico|pomada-creme-gel",65.53,94.63,83,"POSTEC","65.53","94.63","83"
"2286","HIDROCLOROTIAZIDA","25MG|oral|comprimido",3.01,77.98,5,"HIDROCLOROTIAZIDA|DIURIX|DIURIX|HIDROCLOROTIAZIDA|HIDROCLOROTIAZIDA|HIDROCLOROTIAZIDA|HIDROCLOROTIAZIDA|DIUREZIN|HIDROCLOROTIAZIDA|HIDROCLOROTIAZIDA|HIDROCLOROTIAZIDA|FURP-HIDROCLOROTIAZIDA|HIDROCLOROTIAZIDA|HIDROCLOROTIAZIDA|HIDROLESS|HIDROLESS|HIDROCLOROTIAZIDA|HIDROMED|HIDROCLOROTIAZIDA|HIDROCLOROTIAZIDA|HIDROCLOROTIAZIDA|HIDROCLOROTIAZIDA|HIDROCLOROTIAZIDA|CLORANA","4.64|3.91|5.87|46.77|4.67|4.3|4.64|4.17|3.01|6.07|50.53|20.13|4.63|54.84|22.11|6.67|4.66|6.55|3.05|77.98|4.65|4.4|3.26|7.2","5.8|4.89|7.34|58.46|5.84|4.3|5.8|5.21|3.76|7.59|63.16|25.16|5.79|68.55|27.64|8.34|4.66|8.19|3.81|77.98|4.65|5.5|3.26|7.2","5|5|7|55|5|4|5|5|4|7|59|23|5|64|26|8|5|8|4|78|5|5|3|7"
"2287","HIDROCLOROTIAZIDA","50MG|oral|comprimido",2.36,31.7,6,"HIDROCLOROTIAZIDA|HIDROCLOROTIAZIDA|DIUREZIN|HIDROFLUX|HIDROLESS|HIDROLESS|HIDROCLOROTIAZIDA|HIDROCLOROTIAZIDA|HIDROCLOROTIAZIDA|CLORANA","4.78|7.28|5.45|4.52|2.73|25.36|4.61|5.17|2.36|7.46","5.98|9.1|6.81|5.65|3.41|31.7|5.76|6.46|2.95|9.33","6|8|6|5|3|30|5|6|3|9"
"2288","HIDROCLOROTIAZIDA;CANDESARTANA CILEXETILA","16MG|12.5MG|oral|comprimido",45.24,120.34,74,"CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA|VENZER HCT|CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA|ATACAND HCT|ATACAND HCT","63.53|45.24|54.78|70.66|96.27","79.41|56.55|68.48|88.33|120.34","74|53|64|82|112"
"2289","HIDROCLOROTIAZIDA;CANDESARTANA CILEXETILA","8MG|12.5MG|oral|comprimido",45.24,116.7,74,"CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA|VENZER HCT|ATACAND HCT","63.53|45.24|93.36","79.41|56.55|116.7","74|53|109"
"2290","HIDROCLOROTIAZIDA;CLORIDRATO DE PROPRANOLOL","40MG|12.5MG|oral|comprimido",7.35,9.19,9,"TENADREN","7.35","9.19","9"
"2291","HIDROCLOROTIAZIDA;CLORIDRATO DE PROPRANOLOL","40MG|25MG|oral|comprimido",7.58,9.48,9,"TENADREN","7.58","9.48","9"
"2292","HIDROCLOROTIAZIDA;CLORIDRATO DE PROPRANOLOL","80MG|12.5MG|oral|comprimido",12.62,15.78,15,"TENADREN","12.62","15.78","15"
"2293","HIDROCLOROTIAZIDA;CLORIDRATO DE PROPRANOLOL","80MG|25MG|oral|comprimido",13.37,16.71,16,"TENADREN","13.37","16.71","16"
"2294","HIDROCLOROTIAZIDA;IRBESARTANA","150MG|12.5MG|oral|comprimido",70.03,134.64,82,"IRBESARTANA+ HIDROCLOROTIAZIDA|APROZIDE|BART H","70.03|107.71|70.03","87.54|134.64|87.54","82|126|82"
"2295","HIDROCLOROTIAZIDA;IRBESARTANA","300MG|12.5MG|oral|comprimido",70.03,134.64,82,"IRBESARTANA+ HIDROCLOROTIAZIDA|APROZIDE|BART H","70.03|107.71|70.03","87.54|134.64|87.54","82|126|82"
